id,result,kb_used,error
esnli_test_3499,entailment,,
esnli_test_3542,neutral,"isa_wn(little girl, child) ;; isa_wn(little boy, child) ;; isa_wn(have arms around, hug)",
esnli_test_3548,neutral,"isa_wn(juggler, person)",
esnli_test_3611,neutral,,
esnli_test_3813,neutral,,
esnli_test_3927,neutral,,
esnli_test_4167,neutral,,
esnli_test_4343,neutral,"isa_wn(speak, talk)",
esnli_test_4382,neutral,,
esnli_test_4476,neutral,,
esnli_test_4558,neutral,"isa_wn(kid, child)",
esnli_test_4565,neutral,,
esnli_test_4572,neutral,,
esnli_test_4594,neutral,"isa_wn(bald, no hair) ;; isa_wn(sculpt, make sculpture)",
esnli_test_4633,neutral,,
esnli_test_4753,neutral,,
esnli_test_4821,neutral,"isa_wn(trashcan, container) ;; isa_wn(look through, explore)",
esnli_test_5055,neutral,"isa_wn(woman, person) ;; isa_wn(run, jog) ;; isa_wn(beach, shore)",
esnli_test_5087,neutral,,
esnli_test_5165,neutral,"isa_wn(inspect, look at) ;; isa_wn(pickaxe, axe)",
esnli_test_5413,neutral,,
esnli_test_5470,neutral,,
esnli_test_5474,entailment,,
esnli_test_5538,neutral,,
esnli_test_5650,neutral,,
esnli_test_6038,entailment,"isa_wn(child, person)",
esnli_test_6092,neutral,,
esnli_test_6138,neutral,,
esnli_test_6380,neutral,,
esnli_test_6394,neutral,"isa_wn(speak, talk)",
esnli_test_6436,neutral,"isa_wn(monarch butterfly, butterfly)",
esnli_test_6460,neutral,"isa_wn(dog, animal) ;; isa_wn(catch, make contact) ;; isa_wn(frisbee, toy)",
esnli_test_6469,neutral,,
esnli_test_6491,neutral,,
esnli_test_6574,neutral,"isa_wn(come down, descend)",
esnli_test_6654,neutral,"isa_wn(research, work)",
esnli_test_6669,entailment,,
esnli_test_6708,entailment,,
esnli_test_6766,entailment,,
esnli_test_6767,entailment,,
esnli_test_6831,neutral,,
esnli_test_6949,neutral,,
esnli_test_7011,neutral,,
esnli_test_7075,neutral,,
esnli_test_7091,neutral,"isa_wn(man, someone)",
esnli_test_7155,neutral,"isa_wn(river, water)",
esnli_test_7161,neutral,"isa_wn(boy and girl, two people) ;; isa_wn(mike huckabee sign, advertising sign)",
esnli_test_7241,neutral,,
esnli_test_7311,neutral,,
esnli_test_7416,neutral,,
esnli_test_7494,neutral,"isa_wn(greyhound, dog)",
esnli_test_7523,neutral,"isa_wn(man, person)",
esnli_test_7539,neutral,,
esnli_test_7609,neutral,"isa_wn(ocean, water)",
esnli_test_7615,entailment,"isa_wn(woman, person)",
esnli_test_7659,entailment,,
esnli_test_7675,neutral,,
esnli_test_7687,entailment,,
esnli_test_7705,neutral,,
esnli_test_7757,neutral,,
esnli_test_7778,neutral,,
esnli_test_7845,neutral,,
esnli_test_7911,neutral,,
esnli_test_8079,neutral,,
esnli_test_8131,neutral,"isa_wn(woman, person)",
esnli_test_8146,entailment,,
esnli_test_8167,neutral,,
esnli_test_8179,entailment,,
esnli_test_8221,neutral,"isa_wn(ocean surf, beach)",
esnli_test_8377,neutral,"isa_wn(dog, canine) ;; isa_wn(fenced yard, sealed expanse)",
esnli_test_8381,neutral,,
esnli_test_8414,neutral,,
esnli_test_8551,entailment,,
esnli_test_8574,neutral,,
esnli_test_8594,neutral,"isa_wn(behind, near)",
esnli_test_8609,entailment,"isa_wn(walk, stand up)",
esnli_test_8708,entailment,,
esnli_test_8717,entailment,,
esnli_test_8795,neutral,"isa_wn(tough, rough) ;; isa_wn(walk, pace)",
esnli_test_8844,neutral,"isa_wn(guy, man)",
esnli_test_8856,neutral,,
esnli_test_8898,neutral,"isa_wn(beach boardwalk, wooden path)",
esnli_test_8919,entailment,,
esnli_test_9052,neutral,"isa_wn(remnant, part)",
esnli_test_9095,neutral,,
esnli_test_9165,entailment,,
esnli_test_9168,neutral,,
esnli_test_9227,neutral,,
esnli_test_9447,entailment,"isa_wn(newborn baby, baby)",
esnli_test_9617,neutral,"isa_wn(man, person) ;; isa_wn(toy helicopter, object) ;; isa_wn(controller, object)",
esnli_test_9630,entailment,,
esnli_test_9658,neutral,,
esnli_test_760,neutral,"isa_wn(boy, child)",
esnli_test_832,neutral,"isa_wn(football player, person)",
esnli_test_1363,neutral,"isa_wn(gain control, play sport)",
esnli_test_1874,neutral,"isa_wn(play guitar, guitar player)",
esnli_test_2626,neutral,"isa_wn(two men, multiple people)",
esnli_test_2947,neutral,"isa_wn(men, people)",
esnli_test_1940,neutral,"isa_wn(pinstriped suit, clothes)",
esnli_test_2755,neutral,"isa_wn(mountain bike, bike)",
esnli_test_3221,neutral,"isa_wn(man, guy) ;; isa_wn(shave head, cut hair)",
esnli_test_3216,neutral,"isa_wn(man, person)",
esnli_test_3262,neutral,"isa_wn(woman, person)",
esnli_test_3369,neutral,"isa_wn(teen, human)",
esnli_test_4072,entailment,"isa_wn(celebrate asian culture, celebrate)",
esnli_test_3327,neutral,"isa_wn(sun beating down, sunny)",
esnli_test_3824,neutral,"isa_wn(vegetation, plants)",
esnli_test_4118,neutral,"isa_wn(kick soccer ball, play) ;; isa_wn(grassy area, grass)",
esnli_test_4378,neutral,"isa_wn(bike, ride bicycle)",
esnli_test_4300,neutral,"isa_wn(child, person)",
esnli_test_4795,neutral,"isa_wn(exercise, move muscle)",
esnli_test_4516,neutral,"isa_wn(woman, lady)",
esnli_test_5085,neutral,"isa_wn(swing fire line, perform trick)",
esnli_test_4412,neutral,"isa_wn(wear, have)",
esnli_test_5092,neutral,"isa_wn(male, man)",
esnli_test_5247,neutral,"isa_wn(ski down, on)",
esnli_test_5543,neutral,"isa_wn(male performer, man)",
esnli_test_5956,entailment,"isa_wn(man, person)",
esnli_test_5581,neutral,"isa_wn(lab, dog)",
esnli_test_6111,neutral,"isa_wn(sit with, near)",
esnli_test_6022,neutral,"isa_wn(dance, perform)",
esnli_test_6573,neutral,"isa_wn(basketball, sport)",
esnli_test_7021,neutral,"isa_wn(kickbox, fight)",
esnli_test_6498,neutral,"isa_wn(noise-canceling headphones, headphones)",
esnli_test_7222,-,,"Server error '500 INTERNAL SERVER ERROR' for url 'https://langpro-annotator.hum.uu.nl/langpro-api/prove/'
For more information check: https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/500"
esnli_test_7314,neutral,"isa_wn(guy, man)",
esnli_test_8001,neutral,"isa_wn(cellphone, phone)",
esnli_test_7669,neutral,"isa_wn(basketball, game)",
esnli_test_8129,neutral,"isa_wn(run, athletic)",
esnli_test_8340,neutral,"isa_wn(cry, throw tantrum)",
esnli_test_8624,neutral,"isa_wn(shovel, use shovel)",
esnli_test_9012,neutral,"isa_wn(choir, group of singers)",
esnli_test_9088,neutral,"isa_wn(splash, swim)",
esnli_test_8962,neutral,"isa_wn(throw playfully, play)",
esnli_test_9110,-,"isa_wn(jacket, clothes)","Server error '500 INTERNAL SERVER ERROR' for url 'https://langpro-annotator.hum.uu.nl/langpro-api/prove/'
For more information check: https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/500"
esnli_test_9294,neutral,"isa_wn(pedestrian, human) ;; isa_wn(mill around, meander around)",
esnli_test_9261,neutral,"isa_wn(bicycler, cyclist)",
esnli_test_9820,neutral,"isa_wn(observe, look at)",
esnli_test_9605,neutral,"isa_wn(path, outdoors) ;; isa_wn(direct, help)",
