id,result,kb_used,error
esnli_test_1335,neutral,"isa_wn(guy, man) ;; isa_wn(bite into, eat) ;; isa_wn(marshmallow chick, marshmallow)",
esnli_test_1363,neutral,"isa_wn(gain control over a ball, play a sport)",
esnli_test_1201,neutral,"isa_wn(vegetables, vegetable)",
esnli_test_1691,neutral,"isa_wn(band, musician) ;; isa_wn(stage, venue)",
esnli_test_1485,neutral,"isa_wn(blue scrub, scrub)",
esnli_test_1819,neutral,"isa_wn(perform, play music)",
esnli_test_1656,neutral,"isa_wn(work at computer, sit in front of computer)",
esnli_test_1893,entailment,"isa_wn(guitarist, musician)",
esnli_test_1898,neutral,"isa_wn(garden, outside)",
esnli_test_1874,neutral,"isa_wn(play the guitar, guitar player)",
esnli_test_2122,neutral,"isa_wn(couple, people) ;; isa_wn(street, outside)",
esnli_test_1940,neutral,"isa_wn(man, male) ;; isa_wn(pinstriped suit, clothes) ;; isa_wn(street, outside)",
esnli_test_2375,neutral,"isa_wn(woman, female human) ;; isa_wn(girl, female human) ;; isa_wn(cross, move)",
esnli_test_2584,neutral,"isa_wn(pick out vegetable, shop)",
esnli_test_2287,neutral,"isa_wn(guy, man)",
esnli_test_2626,neutral,"isa_wn(man, person) ;; isa_wn(spar, multiple person)",
esnli_test_2640,neutral,"isa_wn(young child, child)",
esnli_test_2650,neutral,"isa_wn(tan jacket, jacket)",
esnli_test_2740,neutral,"isa_wn(student, person) ;; isa_wn(notebook, book)",
esnli_test_2680,neutral,"isa_wn(outdoor market, market)",
esnli_test_2947,neutral,"isa_wn(man, person)",
esnli_test_2804,neutral,"isa_wn(orange jersey, opposite team) ;; isa_wn(blue jersey, opposite team)",
esnli_test_3175,neutral,"isa_wn(young lady, woman) ;; isa_wn(street, outside)",
esnli_test_3189,entailment,"isa_wn(family, people)",
esnli_test_3188,neutral,"isa_wn(hang, play)",
esnli_test_3221,neutral,"isa_wn(man, guy) ;; isa_wn(shave, cut hair)",
esnli_test_3262,neutral,"isa_wn(woman, person) ;; isa_wn(beach, water)",
esnli_test_3216,neutral,"isa_wn(two man, multiple people)",
esnli_test_3369,neutral,"isa_wn(teen, human) ;; isa_wn(carnival, outdoors)",
esnli_test_3327,neutral,"isa_wn(sun beating down, sunny day)",
esnli_test_3542,neutral,"isa_wn(little girl, child) ;; isa_wn(little boy, child) ;; isa_wn(have arms around, hug)",
esnli_test_3548,neutral,"isa_wn(juggler, person)",
esnli_test_3023,neutral,"isa_wn(roller derby, skate quickly)",
esnli_test_3611,entailment,"isa_wn(friend, person) ;; isa_wn(talk, hang out)",
esnli_test_4118,neutral,"isa_wn(kick, play)",
esnli_test_3824,neutral,"isa_wn(vegetation, plant)",
esnli_test_4343,neutral,"isa_wn(speak, talk)",
esnli_test_4300,neutral,"isa_wn(children, group of people)",
esnli_test_4378,neutral,"isa_wn(cyclist, man) ;; isa_wn(bike, bicycle) ;; isa_wn(bike, ride)",
esnli_test_4476,neutral,"isa_wn(man, musician) ;; isa_wn(acoustic guitar, instrument)",
esnli_test_4412,entailment,"isa_wn(in, have)",
esnli_test_4516,entailment,"isa_wn(woman, lady) ;; isa_wn(yarn animal, yarn toy)",
esnli_test_4558,neutral,"isa_wn(kid, child)",
esnli_test_4753,entailment,"isa_wn(marsh-like area, marshy area)",
esnli_test_4795,neutral,"isa_wn(do exercise, move muscle)",
esnli_test_4821,neutral,"isa_wn(trashcan, container) ;; isa_wn(look through, explore)",
esnli_test_4572,neutral,"isa_wn(snow landscape, outside in the snow)",
esnli_test_5055,neutral,"isa_wn(woman, person) ;; isa_wn(run, jog) ;; isa_wn(beach, shore)",
esnli_test_5092,neutral,"isa_wn(male, man) ;; isa_wn(airborne on a bike, ride bike)",
esnli_test_5085,neutral,"isa_wn(swing a fire line, perform a trick)",
esnli_test_5543,neutral,"isa_wn(male performer, man) ;; isa_wn(sing, sing a song)",
esnli_test_5581,neutral,"isa_wn(black lab, dog) ;; isa_wn(in the water, outside)",
esnli_test_4594,neutral,"isa_wn(bald, no hair) ;; isa_wn(sculpt, make sculpture)",
esnli_test_5165,neutral,"isa_wn(pickaxe, axe) ;; isa_wn(inspect, look at)",
esnli_test_5650,neutral,"isa_wn(man, person) ;; isa_wn(woman, person) ;; isa_wn(speak, talk)",
esnli_test_5956,entailment,"isa_wn(young man, young person)",
esnli_test_6038,entailment,"isa_wn(child, person)",
esnli_test_6022,neutral,"isa_wn(older men and women, old people) ;; isa_wn(dance, perform) ;; isa_wn(in front of a stage, onstage)",
esnli_test_6138,neutral,"isa_wn(snow covered ground, outside)",
esnli_test_6394,neutral,"isa_wn(speak, talk)",
esnli_test_6092,neutral,"isa_wn(view of a river and several boats in the background, a river and boats are behind her)",
esnli_test_6436,neutral,"isa_wn(monarch butterfly, butterfly)",
esnli_test_6460,neutral,"isa_wn(dog, animal) ;; isa_wn(catch, make contact) ;; isa_wn(frisbee, toy)",
esnli_test_6573,neutral,"isa_wn(get basketball in goal, play sport)",
esnli_test_6498,neutral,"isa_wn(noise-canceling headphone, headphone)",
esnli_test_6574,neutral,"isa_wn(come down, descend)",
esnli_test_6767,entailment,"isa_wn(rocky beach, beach)",
esnli_test_6654,neutral,"isa_wn(research, work)",
esnli_test_7021,neutral,"isa_wn(kickboxing, fighting)",
esnli_test_6831,neutral,"isa_wn(man, batter) ;; isa_wn(baseball, pitch)",
esnli_test_7011,neutral,"isa_wn(stand on hind leg, be in upright position) ;; isa_wn(edge of road, near road)",
esnli_test_6949,neutral,"isa_wn(olympic winner, person) ;; isa_wn(pose for a photo, have photo taken)",
esnli_test_7091,neutral,"isa_wn(man, someone)",
esnli_test_7222,-,,"Server error '500 INTERNAL SERVER ERROR' for url 'https://langpro-annotator.hum.uu.nl/langpro-api/prove/'
For more information check: https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/500"
esnli_test_7161,neutral,"isa_wn(boy and girl, two people) ;; isa_wn(mike huckabee sign, advertising sign)",
esnli_test_7241,neutral,"isa_wn(sidewalk, outdoors)",
esnli_test_7311,neutral,"isa_wn(snowy path, snow in winter)",
esnli_test_7314,neutral,"isa_wn(guy, man) ;; isa_wn(surf, be on a surfboard)",
esnli_test_7155,neutral,"isa_wn(river, water)",
esnli_test_7494,neutral,"isa_wn(greyhound, dog)",
esnli_test_7523,neutral,"isa_wn(man, person)",
esnli_test_7615,entailment,"isa_wn(woman, person)",
esnli_test_7609,neutral,"isa_wn(ocean, water)",
esnli_test_8001,neutral,"isa_wn(phone, cellphone)",
esnli_test_7669,neutral,"isa_wn(hoop, game)",
esnli_test_8129,neutral,"isa_wn(lacrosse player, athletic person)",
esnli_test_7539,neutral,"isa_wn(bench, park bench)",
esnli_test_8221,neutral,"isa_wn(ocean surf, beach)",
esnli_test_8340,neutral,"isa_wn(cry, throw a tantrum)",
esnli_test_8167,neutral,"isa_wn(hold hand and form circle, play together)",
esnli_test_8131,neutral,"isa_wn(woman, person)",
esnli_test_8609,entailment,"isa_wn(walk, stand up)",
esnli_test_8377,neutral,"isa_wn(dog, canine) ;; isa_wn(fenced yard, sealed expanse)",
esnli_test_8594,neutral,"isa_wn(behind, near)",
esnli_test_7705,neutral,"isa_wn(blond headed child, blonde girl)",
esnli_test_8624,neutral,"isa_wn(shovel dirt, use a shovel)",
esnli_test_8795,neutral,"isa_wn(walk, pace) ;; isa_wn(tough, rough)",
esnli_test_8898,neutral,"isa_wn(beach boardwalk, wooden path)",
esnli_test_8844,neutral,"isa_wn(guy, man)",
esnli_test_8962,neutral,"isa_wn(throw into the air, play)",
esnli_test_8856,neutral,"isa_wn(place american flag, honor) ;; isa_wn(veteran, fallen veteran)",
esnli_test_9012,neutral,"isa_wn(choir, group of singer) ;; isa_wn(practice, sing)",
esnli_test_9088,neutral,"isa_wn(splash through ocean, swim)",
esnli_test_9110,-,"isa_wn(uniformed, wear cloth)","Server error '500 INTERNAL SERVER ERROR' for url 'https://langpro-annotator.hum.uu.nl/langpro-api/prove/'
For more information check: https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/500"
esnli_test_9095,neutral,"isa_wn(baby, child)",
esnli_test_9227,neutral,"isa_wn(public speaker, person who address a crowd)",
esnli_test_9052,neutral,"isa_wn(remnant, part)",
esnli_test_9294,neutral,"isa_wn(pedestrian, human) ;; isa_wn(mill, meander)",
esnli_test_9261,neutral,"isa_wn(bicycler, cyclist) ;; isa_wn(busy street, public street)",
esnli_test_9447,entailment,"isa_wn(newborn baby, baby)",
esnli_test_9820,neutral,"isa_wn(observe, look)",
esnli_test_9605,neutral,"isa_wn(snowy path, outdoors) ;; isa_wn(direct, help)",
esnli_test_9617,neutral,"isa_wn(man, person) ;; isa_wn(toy helicopter, object) ;; isa_wn(controller, object)",
