id,result,error
esnli_test_4572,neutral,
esnli_test_4633,neutral,
esnli_test_4753,neutral,
esnli_test_4821,neutral,
esnli_test_4795,neutral,
esnli_test_5055,neutral,
esnli_test_5092,neutral,
esnli_test_5085,neutral,
esnli_test_5087,neutral,
esnli_test_4594,neutral,
esnli_test_5247,neutral,
esnli_test_5165,neutral,
esnli_test_5413,neutral,
esnli_test_5474,entailment,
esnli_test_5470,neutral,
esnli_test_5543,neutral,
esnli_test_5581,neutral,
esnli_test_5650,neutral,
esnli_test_5956,entailment,
esnli_test_6038,entailment,
esnli_test_5538,neutral,
esnli_test_6022,neutral,
esnli_test_6111,neutral,
esnli_test_6092,neutral,
esnli_test_6380,neutral,
esnli_test_6394,neutral,
esnli_test_6138,neutral,
esnli_test_6436,neutral,
esnli_test_6460,neutral,
esnli_test_6469,neutral,
esnli_test_6491,neutral,
esnli_test_6573,neutral,
esnli_test_6498,neutral,
esnli_test_6574,neutral,
esnli_test_6669,entailment,
esnli_test_6654,neutral,
esnli_test_6766,entailment,
esnli_test_6767,entailment,
esnli_test_6708,entailment,
esnli_test_6831,neutral,
esnli_test_7021,neutral,
esnli_test_6949,neutral,
esnli_test_7011,neutral,
esnli_test_7075,neutral,
esnli_test_7091,neutral,
esnli_test_7161,neutral,
esnli_test_7241,neutral,
esnli_test_7314,neutral,
esnli_test_7311,neutral,
esnli_test_7155,neutral,
esnli_test_7416,neutral,
esnli_test_7523,neutral,
esnli_test_7609,neutral,
esnli_test_7615,entailment,
esnli_test_7539,neutral,
esnli_test_7494,neutral,
esnli_test_7669,neutral,
esnli_test_7675,neutral,
esnli_test_7687,entailment,
esnli_test_7659,entailment,
esnli_test_7845,neutral,
esnli_test_7778,neutral,
esnli_test_7757,neutral,
esnli_test_8001,neutral,
esnli_test_7911,neutral,
esnli_test_8079,neutral,
esnli_test_8129,neutral,
esnli_test_8146,entailment,
esnli_test_8131,neutral,
esnli_test_8179,entailment,
esnli_test_8167,neutral,
esnli_test_8221,neutral,
esnli_test_8340,neutral,
esnli_test_8381,neutral,
esnli_test_8377,neutral,
esnli_test_8414,neutral,
esnli_test_8551,entailment,
esnli_test_8624,neutral,
esnli_test_8594,neutral,
esnli_test_8609,neutral,
esnli_test_8708,entailment,
esnli_test_8717,entailment,
esnli_test_8574,neutral,
esnli_test_8795,neutral,
esnli_test_8898,neutral,
esnli_test_8856,neutral,
esnli_test_8962,neutral,
esnli_test_8919,entailment,
esnli_test_8844,neutral,
esnli_test_9012,neutral,
esnli_test_9088,neutral,
esnli_test_9095,neutral,
esnli_test_9165,entailment,
esnli_test_9168,neutral,
esnli_test_9227,neutral,
esnli_test_9052,neutral,
esnli_test_9261,neutral,
esnli_test_9294,neutral,
esnli_test_9447,entailment,
esnli_test_9605,neutral,
esnli_test_9630,entailment,
esnli_test_9658,neutral,
esnli_test_9820,neutral,
esnli_test_9617,neutral,
esnli_test_7222,-,"Server error '500 INTERNAL SERVER ERROR' for url 'https://langpro-annotator.hum.uu.nl/langpro-api/prove/'
For more information check: https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/500"
esnli_test_9110,-,"Server error '500 INTERNAL SERVER ERROR' for url 'https://langpro-annotator.hum.uu.nl/langpro-api/prove/'
For more information check: https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/500"
esnli_test_7705,neutral,
esnli_test_941,neutral,
