ID,dataset,split,premise,hypothesis,gold_label,annotator_count,all_present_exact_match,Alternative_KB,Ettore_KB,Jorryt_KB,Lasha_KB,Stefan_KB,Ettore_Jorryt_match,Ettore_Lasha_match,Ettore_Stefan_match,Jorryt_Lasha_match,Jorryt_Stefan_match,Lasha_Stefan_match,LLM__lex_few_shot_precision__openai_gpt-5.4-mini_raw_response,LLM__lex_few_shot_precision__openai_gpt-5.4-mini_KB,LLM__lex_few_shot_precision__openai_gpt-5.4-mini_error,LLM__lex_few_shot_precision__anthropic_claude-haiku-4.5_raw_response,LLM__lex_few_shot_precision__anthropic_claude-haiku-4.5_KB,LLM__lex_few_shot_precision__anthropic_claude-haiku-4.5_error,LLM__lex_few_shot_precision__google_gemini-3.1-flash-lite_raw_response,LLM__lex_few_shot_precision__google_gemini-3.1-flash-lite_KB,LLM__lex_few_shot_precision__google_gemini-3.1-flash-lite_error,LLM__lex_few_shot_precision__openai_gpt-oss-20b_raw_response,LLM__lex_few_shot_precision__openai_gpt-oss-20b_KB,LLM__lex_few_shot_precision__openai_gpt-oss-20b_error,LLM__lex_few_shot_base__openai_gpt-5.4-mini_raw_response,LLM__lex_few_shot_base__openai_gpt-5.4-mini_KB,LLM__lex_few_shot_base__openai_gpt-5.4-mini_error,LLM__lex_few_shot_base__anthropic_claude-haiku-4.5_raw_response,LLM__lex_few_shot_base__anthropic_claude-haiku-4.5_KB,LLM__lex_few_shot_base__anthropic_claude-haiku-4.5_error,LLM__lex_few_shot_base__google_gemini-3.1-flash-lite_raw_response,LLM__lex_few_shot_base__google_gemini-3.1-flash-lite_KB,LLM__lex_few_shot_base__google_gemini-3.1-flash-lite_error,LLM__lex_few_shot_base__openai_gpt-oss-20b_raw_response,LLM__lex_few_shot_base__openai_gpt-oss-20b_KB,LLM__lex_few_shot_base__openai_gpt-oss-20b_error
2521878609.jpg#4r1e,snli,train,kid eating pasta,The kid is human.,entailment,2,TRUE,,NO_RELATION,NO_RELATION,NO_RELATION,,TRUE,TRUE,,TRUE,,,"answer: entailment
relations: { entails(kid, human) }","isa_wn(kid, human)",,"answer: entailment
relations: { entails(kid, human) }","isa_wn(kid, human)",,"answer: entailment
relations: { entails(kid, human) }","isa_wn(kid, human)",,"answer: entailment
relations: { entails(kid, human) }","isa_wn(kid, human)",,"answer: entailment
relations: { entails(kid, human) }","isa_wn(kid, human)",,"answer: entailment
relations: { entails(kid, human) }","isa_wn(kid, human)",,"answer: entailment
relations: { entails(kid, human) }","isa_wn(kid, human)",,"answer: entailment  
relations: { entails(kid, human) }","isa_wn(kid, human)",
2543017787.jpg#4r1e,snli,train,A child rides a swing.,A kid is playing,entailment,2,TRUE,,"(child, kid)","(child, kid)",,"(child, kid)",FALSE,,FALSE,,TRUE,,"answer: entailment
relations: { entails(child, kid), entails(ride swing, play) }","isa_wn(child, kid); isa_wn(ride swing, play)",,"answer: non-entailment

explanation: While ""child"" and ""kid"" are closely related terms, the premise does not entail the hypothesis because riding a swing does not necessarily constitute ""playing."" A child could ride a swing for various reasons (exercise, transportation, etc.) without it being characterized as playing. Additionally, the premise makes no statement about the child engaging in play activity, which is a required element of the hypothesis.

relations: { }",NO_RELATION,,"answer: entailment
relations: { entails(child, kid), entails(ride swing, play) }","isa_wn(child, kid); isa_wn(ride swing, play)",,"answer: entailment  
relations: { entails(child, kid) }","isa_wn(child, kid)",,"answer: entailment
relations: { entails(child, kid), entails(ride a swing, play) }","isa_wn(child, kid); isa_wn(ride a swing, play)",,"answer: non-entailment

explanation: While ""child"" entails ""kid"", the premise does not establish that the child is ""playing"". Riding a swing is an activity, but it does not necessarily entail that the child is engaged in play. The premise describes a specific action (riding a swing) but does not provide information about whether this constitutes play or the child's overall engagement in playing. Therefore, the hypothesis cannot be inferred from the premise.",NO_RELATION,,"answer: entailment
relations: { entails(child, kid), entails(ride swing, play) }","isa_wn(child, kid); isa_wn(ride swing, play)",,"answer: entailment  
relations: { entails(child, kid), entails(ride swing, play) }","isa_wn(child, kid); isa_wn(ride swing, play)",
2665904080.jpg#1r1e,snli,dev,A young puppy suckles from his mother.,A young puppy lays at it's mothers stomach.,entailment,2,TRUE,,NO_RELATION,NO_RELATION,,NO_RELATION,TRUE,,TRUE,,TRUE,,answer: non-entailment,NO_RELATION,,"answer: non-entailment

relations: { }

explanation: While the premise establishes that a young puppy is suckling from its mother, the hypothesis claims the puppy is laying at the mother's stomach. These describe different actions and spatial relationships. Suckling does not entail laying down—a puppy could suckle while standing, kneeling, or in various other positions. The premise does not provide information about the puppy's body position or posture, so the hypothesis cannot be inferred from the premise.",NO_RELATION,,answer: non-entailment,NO_RELATION,,answer: non-entailment,NO_RELATION,,answer: non-entailment,NO_RELATION,,"answer: non-entailment

explanation: The premise states that a young puppy suckles (nurses) from his mother, which describes a nursing behavior. The hypothesis states that a young puppy lays at its mother's stomach. While nursing typically occurs when a puppy is in contact with or near the mother's body, the premise does not necessarily entail that the puppy is laying down. Suckling can occur in various positions and contexts. The hypothesis makes a specific claim about the puppy's posture (laying) that is not logically entailed by the premise's description of the nursing action alone.",NO_RELATION,,answer: non-entailment,NO_RELATION,,"answer: entailment
relations: { entails(suckles, lie) }","isa_wn(suckles, lie)",
2680990587.jpg#3r1e,snli,train,One boy is pushing another boy on a swing.,One human pushing another.,entailment,2,TRUE,,"(boy, human)","(boy, human)",,"(boy, human)",TRUE,,TRUE,,TRUE,,"answer: entailment
relations: { entails(boy, human) }","isa_wn(boy, human)",,"answer: entailment
relations: { entails(boy, human), entails(push, push) }

Wait, let me reconsider. The relation entails(push, push) is trivial and should not be included.

answer: entailment
relations: { entails(boy, human) }","isa_wn(boy, human); isa_wn(push, push); isa_wn(push, push); isa_wn(boy, human)",,"answer: entailment
relations: { entails(boy, human) }","isa_wn(boy, human)",,"answer: entailment  
relations: { entails(boy, human) }","isa_wn(boy, human)",,"answer: entailment
relations: { entails(boy, human) }","isa_wn(boy, human)",,"answer: entailment
relations: { entails(boy, human), entails(push, push) }

Wait, let me reconsider. The relation entails(push, push) is trivial and should not be included.

answer: entailment
relations: { entails(boy, human) }","isa_wn(boy, human); isa_wn(push, push); isa_wn(push, push); isa_wn(boy, human)",,"answer: entailment
relations: { entails(boy, human) }","isa_wn(boy, human)",,"answer: entailment  
relations: { entails(boy, human) }","isa_wn(boy, human)",
2744856447.jpg#3r1e,snli,dev,An Asian young man is drinking out of a metal cup.,The young man is drinking a liquid.,entailment,2,TRUE,,NO_RELATION,,NO_RELATION,NO_RELATION,,TRUE,TRUE,,,TRUE,answer: non-entailment,NO_RELATION,,"answer: entailment
relations: { entails(drink, consume liquid) }","isa_wn(drink, consume liquid)",,"answer: entailment
relations: { entails(metal cup, container for liquid) }","isa_wn(metal cup, container for liquid)",,"answer: entailment  
relations: { entails(drinking, liquid consumption) }","isa_wn(drinking, liquid consumption)",,answer: non-entailment,NO_RELATION,,"answer: entailment
relations: { entails(drink out of cup, drink liquid) }","isa_wn(drink out of cup, drink liquid)",,"answer: entailment
relations: { entails(metal cup, container for liquid), entails(drink out of, drink) }","isa_wn(metal cup, container for liquid); isa_wn(drink out of, drink)",,"answer: entailment
relations: { entails(drink, liquid) }","isa_wn(drink, liquid)",
2809,sick,train,A cartoon airplane is landing,An animated airplane is landing,entailment,2,TRUE,,"(cartoon, animated)",,"(cartoon, animated)","(cartoon, animated)",,TRUE,TRUE,,,TRUE,"answer: entailment
relations: { entails(cartoon, animated) }","isa_wn(cartoon, animated)",,"answer: entailment
relations: { entails(cartoon, animated) }","isa_wn(cartoon, animated)",,"answer: entailment
relations: { entails(cartoon, animated) }","isa_wn(cartoon, animated)",,"**answer:** entailment  
**relations:** { entails(cartoon, animated) }","isa_wn(cartoon, animated)",,"answer: entailment
relations: { entails(cartoon, animated) }","isa_wn(cartoon, animated)",,"answer: entailment
relations: { entails(cartoon, animated) }","isa_wn(cartoon, animated)",,"answer: entailment
relations: { entails(cartoon, animated) }","isa_wn(cartoon, animated)",,"**answer:** entailment  
**relations:** { entails(cartoon airplane, animated airplane) }","isa_wn(cartoon airplane, animated airplane)",
281271503.jpg#4r1e,snli,test,A man in a bright yellow shirt juggles while riding a unicycle.,Man performs a juggling act on a unicycle.,entailment,3,TRUE,,,NO_RELATION,NO_RELATION,NO_RELATION,,,,FALSE,FALSE,TRUE,"answer: entailment  
relations: { entails(juggle, perform a juggling act) }","isa_wn(juggle, perform a juggling act)",,"answer: entailment
relations: { entails(juggle, juggling act) }","isa_wn(juggle, juggling act)",,"answer: entailment
relations: { entails(juggle, perform juggling act) }","isa_wn(juggle, perform juggling act)",,"answer: entailment  
relations: { entails(juggle, perform juggling act) }","isa_wn(juggle, perform juggling act)",,"answer: entailment
relations: { entails(juggles, performs a juggling act) }","isa_wn(juggles, performs a juggling act)",,"answer: entailment
relations: { entails(juggle, juggling act), entails(ride, perform) }","isa_wn(juggle, juggling act); isa_wn(ride, perform)",,"answer: entailment
relations: { entails(juggle, perform juggling act) }","isa_wn(juggle, perform juggling act)",,"answer: entailment  
relations: { entails(juggle, juggling act) }","isa_wn(juggle, juggling act)",
2864340145.jpg#2r1e,snli,dev,A black dog walking through water.,The water has a black dog walking through it.,entailment,2,TRUE,,NO_RELATION,NO_RELATION,,NO_RELATION,TRUE,,TRUE,,TRUE,,"answer: entailment
relations: { }",NO_RELATION,,"answer: entailment
relations: { }

explanation: The entailment follows directly from the logical structure without requiring non-trivial lexical relations. The premise states that a black dog is walking through water, and the hypothesis simply rephrases this fact by expressing the same situation from a different perspective (with ""the water has a black dog walking through it"" being a stylistic variant of ""a black dog is walking through water""). The core semantic content—that a black dog is walking through water—remains the same in both sentences, so no lexical bridges are needed.",NO_RELATION,,"answer: entailment
relations: { }",NO_RELATION,,"answer: entailment  
relations: { }",NO_RELATION,,"answer: entailment
relations: { }",NO_RELATION,,"answer: entailment
relations: { }

explanation: The hypothesis is entailed from the premise without requiring any non-trivial lexical entailment relations. The premise ""A black dog walking through water"" describes a situation where a black dog is moving through water. The hypothesis ""The water has a black dog walking through it"" expresses the same situation using a different syntactic structure (with ""water"" as the subject rather than ""dog""). The core semantic content—that there is a black dog walking through water—remains the same. No specialized lexical entailments are needed to establish this entailment.",NO_RELATION,,"answer: entailment
relations: { }",NO_RELATION,,"answer: entailment
relations: { }",NO_RELATION,
2898,sick,dev,The man is lifting barbells,The man is lifting weights,entailment,2,TRUE,,"(barbell, weight)","(barbell, weight)","(barbell, weight)",,TRUE,TRUE,,TRUE,,,"answer: entailment
relations: { entails(barbell, weight) }","isa_wn(barbell, weight)",,"answer: entailment
relations: { entails(barbell, weight) }","isa_wn(barbell, weight)",,"answer: entailment
relations: { entails(barbell, weight) }","isa_wn(barbell, weight)",,"answer: entailment  
relations: { entails(barbell, weight) }","isa_wn(barbell, weight)",,"answer: entailment
relations: { entails(barbell, weight) }","isa_wn(barbell, weight)",,"answer: entailment
relations: { entails(barbell, weight) }

Explanation: A barbell is a type of weight used in weightlifting. Therefore, if a man is lifting barbells, he is lifting weights. The lexical entailment relation entails(barbell, weight) explains why the hypothesis necessarily follows from the premise.","isa_wn(barbell, weight); isa_wn(barbell, weight)",,"answer: entailment
relations: { entails(barbell, weight) }","isa_wn(barbell, weight)",,"answer: entailment  
relations: { entails(barbell, weight) }","isa_wn(barbell, weight)",
303607405.jpg#4r3e,snli,train,a dog shakes dry.,A dog is wet.,entailment,2,TRUE,,NO_RELATION,NO_RELATION,,NO_RELATION,TRUE,,TRUE,,TRUE,,answer: non-entailment,NO_RELATION,,"answer: non-entailment

relations: { }

explanation: The premise states that a dog shakes dry, which describes an action the dog is performing. While it is reasonable to infer that a dog might shake dry after being wet, the premise does not explicitly state that the dog is wet. The dog could be shaking for other reasons, or could be shaking to dry off from moisture that is not necessarily ""wet"" in the sense implied by the hypothesis. The premise does not logically entail that the dog is currently wet.",NO_RELATION,,answer: non-entailment,NO_RELATION,,answer: non-entailment,NO_RELATION,,"answer: non-entailment
relations: { }",NO_RELATION,,"answer: non-entailment

explanation: The premise states that a dog shakes dry, which describes an action the dog is taking. However, this does not entail that the dog is wet. While it is possible that a dog might shake dry after being wet, the premise does not explicitly state that the dog is wet—only that it is performing the action of shaking dry. A dog could shake dry for other reasons (e.g., after swimming, after a bath, or even just as a behavior) without necessarily being wet at the moment described. The premise does not provide sufficient information to conclude that the dog is currently in a wet state.

relations: { }",NO_RELATION,,answer: non-entailment,NO_RELATION,,answer: non-entailment,NO_RELATION,
3046190891.jpg#2r1e,snli,test,A surfer is performing a jumping stunt in the ocean.,A person in the water.,entailment,2,TRUE,,"(ocean, water); (surfer, person)",,"(ocean, water); (surfer, person)","(ocean, water); (surfer, person)",,TRUE,TRUE,,,TRUE,"answer: entailment
relations: { entails(surfer, person), entails(ocean, water) }","isa_wn(surfer, person); isa_wn(ocean, water)",,"answer: non-entailment

explanation: While the premise states that a surfer is performing a jumping stunt in the ocean, the hypothesis only requires that a person is in the water. Although a surfer is indeed a person and the ocean is water, the premise describes a specific action (performing a jumping stunt) that is not present in the hypothesis. However, more critically, the hypothesis is incomplete or ambiguous as stated (""A person in the water"" lacks a main verb), making it unclear what property or state is being asserted about the person. If we interpret the hypothesis charitably as ""A person is in the water,"" then the premise would entail it through the logical chain: surfer → person, and ocean → water. But given the grammatical incompleteness of the hypothesis as written, a non-entailment judgment is more appropriate.",NO_RELATION,,"answer: entailment
relations: { entails(surfer, person), entails(ocean, water) }","isa_wn(surfer, person); isa_wn(ocean, water)",,"answer: entailment  
relations: { entails(surfer, person), entails(ocean, water) }","isa_wn(surfer, person); isa_wn(ocean, water)",,"answer: entailment
relations: { entails(surfer, person), entails(ocean, water) }","isa_wn(surfer, person); isa_wn(ocean, water)",,"answer: entailment

relations: { entails(surfer, person), entails(ocean, water) }","isa_wn(surfer, person); isa_wn(ocean, water)",,"answer: entailment
relations: { entails(surfer, person), entails(ocean, water) }","isa_wn(surfer, person); isa_wn(ocean, water)",,"answer: entailment  
relations: { entails(surfer, person), entails(ocean, water) }","isa_wn(surfer, person); isa_wn(ocean, water)",
