ID,dataset,split,premise,hypothesis,gold_label,annotator_count,all_present_exact_match,Alternative_KB,Ettore_KB,Jorryt_KB,Lasha_KB,Stefan_KB,Ettore_Jorryt_match,Ettore_Lasha_match,Ettore_Stefan_match,Jorryt_Lasha_match,Jorryt_Stefan_match,Lasha_Stefan_match,LLM__lex_few_shot_precision__openai_gpt-5.4-mini_raw_response,LLM__lex_few_shot_precision__openai_gpt-5.4-mini_KB,LLM__lex_few_shot_precision__openai_gpt-5.4-mini_error,LLM__lex_few_shot_precision__anthropic_claude-haiku-4.5_raw_response,LLM__lex_few_shot_precision__anthropic_claude-haiku-4.5_KB,LLM__lex_few_shot_precision__anthropic_claude-haiku-4.5_error,LLM__lex_few_shot_precision__google_gemini-3.1-flash-lite_raw_response,LLM__lex_few_shot_precision__google_gemini-3.1-flash-lite_KB,LLM__lex_few_shot_precision__google_gemini-3.1-flash-lite_error,LLM__lex_few_shot_precision__openai_gpt-oss-20b_raw_response,LLM__lex_few_shot_precision__openai_gpt-oss-20b_KB,LLM__lex_few_shot_precision__openai_gpt-oss-20b_error,LLM__lex_few_shot_base__openai_gpt-5.4-mini_raw_response,LLM__lex_few_shot_base__openai_gpt-5.4-mini_KB,LLM__lex_few_shot_base__openai_gpt-5.4-mini_error,LLM__lex_few_shot_base__anthropic_claude-haiku-4.5_raw_response,LLM__lex_few_shot_base__anthropic_claude-haiku-4.5_KB,LLM__lex_few_shot_base__anthropic_claude-haiku-4.5_error,LLM__lex_few_shot_base__google_gemini-3.1-flash-lite_raw_response,LLM__lex_few_shot_base__google_gemini-3.1-flash-lite_KB,LLM__lex_few_shot_base__google_gemini-3.1-flash-lite_error,LLM__lex_few_shot_base__openai_gpt-oss-20b_raw_response,LLM__lex_few_shot_base__openai_gpt-oss-20b_KB,LLM__lex_few_shot_base__openai_gpt-oss-20b_error
2521878609.jpg#4r1e,snli,train,kid eating pasta,The kid is human.,entailment,2,TRUE,,NO_RELATION,NO_RELATION,NO_RELATION,,TRUE,TRUE,,TRUE,,,"answer: entailment
relations: { entails(kid, human) }","isa_wn(kid, human)",,"answer: entailment
relations: { entails(kid, human) }","isa_wn(kid, human)",,"answer: entailment
relations: { entails(kid, human) }","isa_wn(kid, human)",,"answer: entailment  
relations: { entails(kid, human) }","isa_wn(kid, human)",,"answer: entailment
relations: { entails(kid, human) }","isa_wn(kid, human)",,"answer: entailment
relations: { entails(kid, human) }","isa_wn(kid, human)",,"answer: entailment
relations: { entails(kid, human) }","isa_wn(kid, human)",,"answer: entailment
relations: { entails(kid, human) }","isa_wn(kid, human)",
2543017787.jpg#4r1e,snli,train,A child rides a swing.,A kid is playing,entailment,2,TRUE,,"(child, kid)","(child, kid)",,"(child, kid)",FALSE,,FALSE,,TRUE,,"answer: entailment
relations: { entails(child, kid), entails(ride a swing, play) }","isa_wn(child, kid); isa_wn(ride a swing, play)",,"answer: non-entailment

explanation: While ""child"" and ""kid"" are closely related terms, the premise only states that a child rides a swing. This does not entail that the child is playing. Riding a swing could be a solitary, mechanical action without the element of play. The hypothesis introduces ""playing,"" which is not necessarily implied by the premise. Additionally, the premise uses ""rides"" (present tense) while the hypothesis uses ""is playing"" (present progressive), but the more fundamental issue is that riding a swing does not logically entail playing.",NO_RELATION,,"answer: entailment
relations: { entails(child, kid), entails(ride swing, play) }","isa_wn(child, kid); isa_wn(ride swing, play)",,"answer: entailment  
relations: { entails(child, kid), entails(ride swing, play) }","isa_wn(child, kid); isa_wn(ride swing, play)",,"answer: entailment
relations: { entails(child, kid), entails(ride a swing, play) }","isa_wn(child, kid); isa_wn(ride a swing, play)",,"answer: non-entailment

explanation: While ""child"" entails ""kid"", the premise states that a child ""rides a swing,"" which describes a specific activity. The hypothesis claims the child ""is playing,"" which is a different predicate. Riding a swing may or may not constitute ""playing"" depending on context and interpretation—it could be a mechanical activity without playful intent. The premise does not provide sufficient information to conclude that the activity constitutes playing.

relations: { }",NO_RELATION,,"answer: entailment
relations: { entails(child, kid), entails(ride swing, play) }","isa_wn(child, kid); isa_wn(ride swing, play)",,"answer: entailment  
relations: { entails(child, kid), entails(ride swing, play) }","isa_wn(child, kid); isa_wn(ride swing, play)",
2665904080.jpg#1r1e,snli,dev,A young puppy suckles from his mother.,A young puppy lays at it's mothers stomach.,entailment,2,TRUE,,NO_RELATION,NO_RELATION,,NO_RELATION,TRUE,,TRUE,,TRUE,,answer: non-entailment,NO_RELATION,,"answer: non-entailment

relations: { }

explanation: While both sentences describe a young puppy and its mother, the premise states that the puppy ""suckles from"" (i.e., feeds from) its mother, whereas the hypothesis claims the puppy ""lays at"" its mother's stomach. These are different actions with different implications. Suckling does not necessarily entail that the puppy is laying down at the mother's stomach - the puppy could be suckling while in other positions. The hypothesis adds a specific positional claim (laying at the stomach) that is not logically required by the premise.",NO_RELATION,,answer: non-entailment,NO_RELATION,,"answer: entailment
relations: { }",NO_RELATION,,answer: non-entailment,NO_RELATION,,"answer: non-entailment

explanation: While the premise establishes that a young puppy suckles from its mother, this does not entail that the puppy lays at its mother's stomach. Suckling is a nursing behavior that could occur in various positions and contexts. The hypothesis makes a specific claim about the puppy's physical position (laying at the mother's stomach) that is not necessarily true just because suckling occurs. The premise does not provide information about the puppy's posture or exact positioning relative to the mother.

relations: { }",NO_RELATION,,answer: non-entailment,NO_RELATION,,"answer: entailment  
relations: { entails(suckling, lying) }","isa_wn(suckling, lying)",
2680990587.jpg#3r1e,snli,train,One boy is pushing another boy on a swing.,One human pushing another.,entailment,2,TRUE,,"(boy, human)","(boy, human)",,"(boy, human)",TRUE,,TRUE,,TRUE,,"answer: entailment
relations: { entails(boy, human) }","isa_wn(boy, human)",,"answer: entailment
relations: { entails(boy, human), entails(push, push) }

Wait, let me reconsider. The relation entails(push, push) is trivial and doesn't need to be stated.

answer: entailment
relations: { entails(boy, human) }","isa_wn(boy, human); isa_wn(push, push); isa_wn(push, push); isa_wn(boy, human)",,"answer: entailment
relations: { entails(boy, human) }","isa_wn(boy, human)",,"**answer:** entailment  
**relations:** { entails(boy, human) }","isa_wn(boy, human)",,"answer: entailment
relations: { entails(boy, human) }","isa_wn(boy, human)",,"answer: entailment
relations: { entails(boy, human), entails(push, push) }

Actually, let me reconsider. The relation entails(push, push) is trivial and unnecessary.

answer: entailment
relations: { entails(boy, human) }","isa_wn(boy, human); isa_wn(push, push); isa_wn(push, push); isa_wn(boy, human)",,"answer: entailment
relations: { entails(boy, human) }","isa_wn(boy, human)",,"answer: entailment  
relations: { entails(boy, human) }","isa_wn(boy, human)",
2744856447.jpg#3r1e,snli,dev,An Asian young man is drinking out of a metal cup.,The young man is drinking a liquid.,entailment,2,TRUE,,NO_RELATION,,NO_RELATION,NO_RELATION,,TRUE,TRUE,,,TRUE,"answer: entailment
relations: { entails(metal cup, cup), entails(cup, container) }","isa_wn(metal cup, cup); isa_wn(cup, container)",,"answer: entailment
relations: { entails(drink, consume liquid) }","isa_wn(drink, consume liquid)",,"answer: entailment
relations: { entails(metal cup, container), entails(drink, consume liquid) }","isa_wn(metal cup, container); isa_wn(drink, consume liquid)",,"**answer:** entailment  
**relations:** { entails(asian young man, young man), entails(drinking, liquid) }","isa_wn(asian young man, young man); isa_wn(drinking, liquid)",,answer: non-entailment,NO_RELATION,,"answer: entailment
relations: { entails(drink out of cup, drink liquid) }","isa_wn(drink out of cup, drink liquid)",,"answer: entailment
relations: { entails(cup, liquid container), entails(drink out of, ingest) }

*Explanation: The premise states the man is drinking out of a cup. By definition, a cup is a container used to hold liquids, and the act of drinking out of such a vessel entails that the person is consuming/ingesting a liquid.*","isa_wn(cup, liquid container); isa_wn(drink out of, ingest)",,"answer: entailment  
relations: { entails(drink, liquid) }","isa_wn(drink, liquid)",
2809,sick,train,A cartoon airplane is landing,An animated airplane is landing,entailment,2,TRUE,,"(cartoon, animated)",,"(cartoon, animated)","(cartoon, animated)",,TRUE,TRUE,,,TRUE,"answer: entailment
relations: { entails(cartoon, animated) }","isa_wn(cartoon, animated)",,"answer: entailment
relations: { entails(cartoon, animated) }","isa_wn(cartoon, animated)",,"answer: entailment
relations: { entails(cartoon, animated) }","isa_wn(cartoon, animated)",,"answer: entailment  
relations: { entails(cartoon airplane, animated airplane) }","isa_wn(cartoon airplane, animated airplane)",,"answer: entailment
relations: { entails(cartoon, animated) }","isa_wn(cartoon, animated)",,"answer: entailment
relations: { entails(cartoon, animated) }","isa_wn(cartoon, animated)",,"answer: entailment
relations: { entails(cartoon, animated) }","isa_wn(cartoon, animated)",,"answer: entailment  
relations: { entails(cartoon, animated) }","isa_wn(cartoon, animated)",
281271503.jpg#4r1e,snli,test,A man in a bright yellow shirt juggles while riding a unicycle.,Man performs a juggling act on a unicycle.,entailment,3,TRUE,,,NO_RELATION,NO_RELATION,NO_RELATION,,,,FALSE,FALSE,TRUE,"answer: entailment
relations: { entails(juggle, perform juggling act), entails(riding a unicycle, on a unicycle) }","isa_wn(juggle, perform juggling act); isa_wn(riding a unicycle, on a unicycle)",,"answer: entailment
relations: { entails(juggle, juggling act) }","isa_wn(juggle, juggling act)",,"answer: entailment
relations: { entails(juggle, perform juggling act) }","isa_wn(juggle, perform juggling act)",,"answer: entailment  
relations: { entails(juggle, perform juggling act) }","isa_wn(juggle, perform juggling act)",,"answer: entailment
relations: { entails(juggles, performs a juggling act), entails(riding a unicycle, on a unicycle) }","isa_wn(juggles, performs a juggling act); isa_wn(riding a unicycle, on a unicycle)",,"answer: entailment
relations: { entails(juggle, juggling act), entails(ride, perform) }","isa_wn(juggle, juggling act); isa_wn(ride, perform)",,"answer: entailment
relations: { entails(juggle, perform juggling act) }","isa_wn(juggle, perform juggling act)",,"**answer:** entailment  
**relations:** { entails(juggle, juggling act) }","isa_wn(juggle, juggling act)",
2864340145.jpg#2r1e,snli,dev,A black dog walking through water.,The water has a black dog walking through it.,entailment,2,TRUE,,NO_RELATION,NO_RELATION,,NO_RELATION,TRUE,,TRUE,,TRUE,,"answer: entailment
relations: { }",NO_RELATION,,"answer: entailment
relations: { }

explanation: The premise states that a black dog is walking through water. The hypothesis rephrases this same situation by describing the water as having a black dog walking through it. This is a logical rearrangement of the same semantic content without requiring any non-trivial lexical entailments. The noun phrases ""a black dog"" and ""water"" remain the same, and ""walking through"" expresses the same spatial relationship in both sentences, just from different perspectives.",NO_RELATION,,"answer: entailment
relations: { }",NO_RELATION,,"answer: entailment
relations: { }",NO_RELATION,,"answer: entailment
relations: { }",NO_RELATION,,"answer: entailment
relations: { }",NO_RELATION,,"answer: entailment
relations: { }",NO_RELATION,,"answer: entailment
relations: { }",NO_RELATION,
2898,sick,dev,The man is lifting barbells,The man is lifting weights,entailment,2,TRUE,,"(barbell, weight)","(barbell, weight)","(barbell, weight)",,TRUE,TRUE,,TRUE,,,"answer: entailment
relations: { entails(barbell, weight) }","isa_wn(barbell, weight)",,"answer: entailment
relations: { entails(barbell, weight) }","isa_wn(barbell, weight)",,"answer: entailment
relations: { entails(barbell, weight) }","isa_wn(barbell, weight)",,"answer: entailment
relations: { entails(barbell, weight) }","isa_wn(barbell, weight)",,"answer: entailment  
relations: { entails(barbell, weight) }","isa_wn(barbell, weight)",,"answer: entailment
relations: { entails(barbell, weight) }","isa_wn(barbell, weight)",,"answer: entailment
relations: { entails(barbell, weight) }","isa_wn(barbell, weight)",,"answer: entailment  
relations: {entails(barbell, weight)}","isa_wn(barbell, weight)",
303607405.jpg#4r3e,snli,train,a dog shakes dry.,A dog is wet.,entailment,2,TRUE,,NO_RELATION,NO_RELATION,,NO_RELATION,TRUE,,TRUE,,TRUE,,"answer: entailment
relations: { entails(shake dry, wet) }","isa_wn(shake dry, wet)",,"answer: non-entailment

relations: { }

explanation: The premise states that a dog shakes dry, which describes an action the dog is performing. However, this does not entail that the dog is wet. While shaking dry is often performed by wet dogs, the action of shaking dry by itself does not logically necessitate that the dog is currently wet—a dog might shake for other reasons, or might have already dried. The premise describes a behavior but does not establish the dog's state of wetness.",NO_RELATION,,answer: non-entailment,NO_RELATION,,answer: non-entailment,NO_RELATION,,answer: non-entailment,NO_RELATION,,"answer: non-entailment

explanation: The premise states that a dog shakes dry, which describes an action the dog is performing. However, this does not entail that the dog is wet. While it is possible that a dog might shake dry after being wet, the premise does not explicitly state or necessarily imply that the dog is currently wet. A dog could shake dry for other reasons, or ""shakes dry"" could simply describe the manner of shaking without confirming a wet state. Therefore, the hypothesis does not necessarily follow from the premise.

relations: { }",NO_RELATION,,answer: non-entailment,NO_RELATION,,"answer: non-entailment
relations: { }",NO_RELATION,
