ID,dataset,split,premise,hypothesis,gold_label,annotator_count,all_present_exact_match,Alternative_KB,Ettore_KB,Jorryt_KB,Lasha_KB,Stefan_KB,Ettore_Jorryt_match,Ettore_Lasha_match,Ettore_Stefan_match,Jorryt_Lasha_match,Jorryt_Stefan_match,Lasha_Stefan_match
3046190891.jpg#2r1e,snli,test,A surfer is performing a jumping stunt in the ocean.,A person in the water.,entailment,2,TRUE,,"(ocean, water); (surfer, person)",,"(ocean, water); (surfer, person)","(ocean, water); (surfer, person)",,TRUE,TRUE,,,TRUE
3054989420.jpg#0r1e,snli,dev,Two children throw dead leaves into the air around them.,The children are outside.,entailment,2,TRUE,,NO_RELATION,NO_RELATION,,NO_RELATION,TRUE,,TRUE,,TRUE,
3101378069.jpg#4r1e,snli,dev,A lady rows a canoe filled with things.,A woman rows a small boat loaded with items.,entailment,3,TRUE,,,"(canoe, small boat); (lady, woman); (filled, loaded); (thing, item)","(canoe, small boat); (filled, loaded); (lady, woman); (thing, item)","(canoe, small boat); (lady, woman); (thing, item); (filled, loaded)",,,,FALSE,FALSE,FALSE
3134092148.jpg#3r2e,snli,train,A man surfing a wave.,A man catches a wave.,entailment,3,TRUE,,,NO_RELATION,NO_RELATION,NO_RELATION,,,,TRUE,FALSE,FALSE
3168293517.jpg#2r1e,snli,dev,A little boy in a blue shirt holding a toy.,Boy dressed in blue holds a toy.,entailment,2,TRUE,,NO_RELATION,NO_RELATION,,NO_RELATION,TRUE,,TRUE,,TRUE,
3232994074.jpg#4r1e,snli,dev,A man and child working on a puzzle.,An adult and a kid are engaged in an activity.,entailment,3,TRUE,,,"(child, kid); (man, adult)","(child, kid); (man, adult)","(man, adult); (child, kid)",,,,FALSE,FALSE,FALSE
3246724744.jpg#0r1e,snli,dev,A young woman wearing a black shirt and black shorts jumps in the air at the beach.,A women in black at the beach.,entailment,2,TRUE,,NO_RELATION,NO_RELATION,,NO_RELATION,TRUE,,TRUE,,TRUE,
3375549004.jpg#4r1e,snli,dev,Men walk in line carrying things.,"While carrying their load, the men walked one behind the other.",entailment,2,TRUE,,NO_RELATION,NO_RELATION,,NO_RELATION,TRUE,,FALSE,,FALSE,
3383037991.jpg#3r1e,snli,dev,A dog looks content sitting on a bed after ripping up some paper,a dog sitting on a bed after ripping up paper.,entailment,2,TRUE,,NO_RELATION,NO_RELATION,NO_RELATION,,TRUE,TRUE,,TRUE,,
3424908564.jpg#1r1e,snli,dev,A woman with red-hair and wearing a black tank top and short jeans shorts appears to be yelling.,A woman with red-hair screams.,entailment,3,TRUE,,,"(yell, scream)","(yell, scream)","(yell, scream)",,,,TRUE,TRUE,TRUE
3440104178.jpg#4r1e,snli,dev,A dog with big ears holds a ball in his mouth.,The dog has big ears.,entailment,2,TRUE,,NO_RELATION,NO_RELATION,,NO_RELATION,TRUE,,TRUE,,TRUE,
3447155358.jpg#3r1e,snli,dev,A little girl in a red flowered dress with a tennis racket.,A little girl in red.,entailment,2,TRUE,,NO_RELATION,NO_RELATION,,NO_RELATION,TRUE,,TRUE,,TRUE,
3584860179.jpg#1r1e,snli,dev,An old man is sitting in a chair outside a colorfully painted building.,Elderly man is sitting on a chair in outside of a building,entailment,2,TRUE,,"(old, elderly)",,"(old, elderly)","(old, elderly)",,TRUE,TRUE,,,TRUE
3612249030.jpg#1r1e,snli,dev,A boy is carrying a black body board across the sand.,The boy is holding an item.,entailment,2,TRUE,,"(body board, item); (carry, hold)",,"(body board, item); (carry, hold)","(body board, item); (carry, hold)",,TRUE,TRUE,,,TRUE
3629664676.jpg#4r1e,snli,train,A dog pulling a rope.,The dog drags the rope.,entailment,2,TRUE,,"(pull, drag)","(pull, drag)",,"(pull, drag)",TRUE,,TRUE,,TRUE,
3639967449.jpg#3r1e,snli,dev,Two boys sitting and eating ice cream.,The boys are eating.,entailment,2,TRUE,,NO_RELATION,,NO_RELATION,NO_RELATION,,TRUE,TRUE,,,TRUE
3791591952.jpg#3r1e,snli,dev,Two entertainers on a stage performing acrobatic moves.,Two entertainers are performing acrobatics.,entailment,2,TRUE,,"(acrobatic move, acrobatics)","(acrobatic move, acrobatics)",,"(acrobatic move, acrobatics)",FALSE,,FALSE,,FALSE,
3794595430.jpg#3r1e,snli,dev,A woman stands at a podium with a slide show behind her.,A woman is standing at a podium.,entailment,2,TRUE,,NO_RELATION,NO_RELATION,,NO_RELATION,TRUE,,TRUE,,TRUE,
381750411.jpg#0r1e,snli,dev,Man dressed in business casual attire playing the saxophone with the rest of a band.,Man plays a woodwind instrument.,entailment,3,TRUE,,,"(saxophone, woodwind instrument)","(saxophone, woodwind instrument)","(saxophone, woodwind instrument)",,,,TRUE,TRUE,TRUE
3843254402.jpg#0r1e,snli,test,A man in a white striped shirt and blue jeans using a water hose to spray water on the ground of concrete ruins.Fo.,A man is spraying water on concrete.,entailment,2,TRUE,,NO_RELATION,,NO_RELATION,NO_RELATION,,TRUE,TRUE,,,TRUE
3913959754.jpg#1r1e,snli,dev,"A woman is standing near the water, looks to be throwing something.",A woman is close to the water.,entailment,3,TRUE,,,"(near, close)","(near, close)","(near, close)",,,,TRUE,TRUE,TRUE
4000008650.jpg#2r1e,snli,train,A woman plays the tuba and another plays the cello on the street.,People playing instruments on the street.,entailment,3,TRUE,,,"(cello, instrument); (tuba, instrument)","(cello, instrument); (tuba, instrument)","(cello, instrument); (tuba, instrument)",,,,FALSE,FALSE,TRUE
4019072184.jpg#4r1e,snli,dev,A man is rock climbing with protective rope.,A man is being secured.,entailment,2,TRUE,,NO_RELATION,,NO_RELATION,NO_RELATION,,TRUE,TRUE,,,TRUE
4066,sick,dev,The man is hurling knives at a tree,The man is throwing knives at a tree,entailment,2,TRUE,,"(hurl, throw)","(hurl, throw)",,"(hurl, throw)",TRUE,,TRUE,,TRUE,
4183662919.jpg#3r1e,snli,test,A child plays with her father's boots.,A child is playing.,entailment,2,TRUE,,NO_RELATION,NO_RELATION,,NO_RELATION,TRUE,,TRUE,,TRUE,
4291704682.jpg#3r1e,snli,train,There are two people sweeping a sidewalk in this picture.,There are a couple of people cleaning the path.,entailment,2,TRUE,,"(sidewalk, path); (sweep, clean); (two, couple)",,"(sidewalk, path); (sweep, clean); (two, couple)","(sidewalk, path); (sweep, clean); (two, couple)",,TRUE,TRUE,,,TRUE
4355004642.jpg#0r1e,snli,train,"A chef and his newest creation in process, being made in an old fashioned oven.",A chef creates.,entailment,2,TRUE,,NO_RELATION,NO_RELATION,NO_RELATION,,TRUE,TRUE,,TRUE,,
4486280757.jpg#0r1e,snli,dev,A man in a black wetsuit with white shorts is windsurfing on a blue body of water with mountains in the background.,The man is near the water.,entailment,2,TRUE,,NO_RELATION,NO_RELATION,NO_RELATION,,TRUE,TRUE,,TRUE,,
4494,sick,test,A girl is combing her hair,A girl is styling her hair,entailment,2,TRUE,,"(comb, style)","(comb, style)","(comb, style)",,TRUE,TRUE,,TRUE,,
4501954896.jpg#2r1e,snli,test,Man jumping up in the air and splitting his legs with his mouth open.,A man is jumping.,entailment,2,TRUE,,NO_RELATION,NO_RELATION,NO_RELATION,,TRUE,TRUE,,TRUE,,
4569102627.jpg#2r1e,snli,test,Little girl with very curly hair drinking her cup of juice.,A girl is ingesting liquid.,entailment,2,TRUE,,"(drink, ingest); (juice, liquid)",,"(drink, ingest); (juice, liquid)","(drink, ingest); (juice, liquid)",,TRUE,TRUE,,,TRUE
4603247500.jpg#0r1e,snli,dev,A man in a white shirt is standing in a T-shirt booth.,A man standing in a booth.,entailment,2,TRUE,,NO_RELATION,,NO_RELATION,NO_RELATION,,TRUE,TRUE,,,TRUE
461139075.jpg#2r1e,snli,dev,A lady is standing up holing a lamp that is turned on.,A lady is holding a lit lamp.,entailment,2,TRUE,,"(turned on, lit)",,"(turned on, lit)","(turned on, lit)",,TRUE,FALSE,,,FALSE
4640148862.jpg#2r1e,snli,dev,A woman carrying a shopping bag in front of Fisher's Popcorn.,a woman is shopping by fisher's popcorn,entailment,2,TRUE,,NO_RELATION,NO_RELATION,NO_RELATION,,TRUE,TRUE,,TRUE,,
4648416380.jpg#0r1e,snli,dev,"Many people are listening to a concert, and TV crew is recording the audience reaction.",People are listening to a concert.,entailment,2,TRUE,,NO_RELATION,NO_RELATION,NO_RELATION,,TRUE,TRUE,,TRUE,,
4661,sick,dev,A woman is slicing a potato,A woman is cutting a potato,entailment,3,TRUE,,,"(slice, cut)","(slice, cut)","(slice, cut)",,,,TRUE,TRUE,TRUE
4718146904.jpg#2r1e,snli,dev,A man selling donuts to a customer during a world exhibition event held in the city of Angeles,A man selling donuts to a customer.,entailment,2,TRUE,,NO_RELATION,NO_RELATION,,NO_RELATION,TRUE,,TRUE,,TRUE,
4729746211.jpg#1r1e,snli,dev,A man in a hat is working with golden colored flowers.,"A man in a hat is working with flowers,",entailment,2,TRUE,,NO_RELATION,,NO_RELATION,NO_RELATION,,TRUE,TRUE,,,TRUE
4734,sick,dev,A man is fitting a silencer to a pistol,A man is applying a silencer to a gun,entailment,2,TRUE,,"(fit, apply); (pistol, gun)","(fit, apply); (pistol, gun)","(fit, apply); (pistol, gun)",,FALSE,TRUE,,FALSE,,
4740975956.jpg#4r1e,snli,dev,Tall man being stopped by an officer.,There is a tall man.,entailment,2,TRUE,,NO_RELATION,NO_RELATION,,NO_RELATION,TRUE,,TRUE,,TRUE,
4803960387.jpg#0r1e,snli,dev,A man wearing a white and blue shirt cooking corn on the cob while a different man buys a piece of corn.,A man is holding to some vegetables near another man.,entailment,3,TRUE,,,"(corn, vegetable)","(corn, vegetable)","(corn, vegetable)",,,,TRUE,TRUE,TRUE
4813609768.jpg#3r1e,snli,dev,A woman in a blue shirt stands with her hands on her hips.,The woman in the blue shirt is touching herself.,entailment,3,TRUE,,,NO_RELATION,NO_RELATION,NO_RELATION,,,,TRUE,TRUE,TRUE
4876043682.jpg#2r1e,snli,dev,A boy rides on a camel in a crowded area while talking on his cellphone.,A boy is riding an animal.,entailment,2,TRUE,,"(camel, animal)","(camel, animal)","(camel, animal)",,TRUE,TRUE,,TRUE,,
4894267064.jpg#3r1e,snli,dev,2 woman walking down the street next to graffiti,The woman are by grafitti.,entailment,2,TRUE,,NO_RELATION,NO_RELATION,,NO_RELATION,TRUE,,TRUE,,TRUE,
4909669888.jpg#2r1e,snli,dev,A Black woman on the street is talking on her cellphone.,A black woman is on her phone.,entailment,2,TRUE,,"(cellphone, phone)","(cellphone, phone)",,"(cellphone, phone)",FALSE,,FALSE,,TRUE,
4938897545.jpg#4r1e,snli,dev,A motorcycle rider is making a sharp turn.,The motorcyclist is turning.,entailment,2,TRUE,,"(motorcycle rider, motorcyclist)","(motorcycle rider, motorcyclist)",,"(motorcycle rider, motorcyclist)",FALSE,,TRUE,,FALSE,
4974,sick,train,Someone is holding a hedgehog,Someone is holding a small animal,entailment,2,TRUE,,"(hedgehog, small animal)","(hedgehog, small animal)","(hedgehog, small animal)",,TRUE,TRUE,,TRUE,,
4985197970.jpg#0r1e,snli,dev,"A sunny street with a red building, parked cars, and a man walking down the road.",The sun is shining.,entailment,3,TRUE,,,NO_RELATION,NO_RELATION,NO_RELATION,,,,TRUE,TRUE,TRUE
4985197970.jpg#3r1e,snli,dev,A person is walking down a cobblestone street.,The cobblestone street is not empty.,entailment,2,TRUE,,NO_RELATION,NO_RELATION,,NO_RELATION,FALSE,,FALSE,,TRUE,
5030,sick,dev,The man is talking on the telephone,The man is speaking on the telephone,entailment,2,TRUE,,"(talk, speak)","(talk, speak)",,"(talk, speak)",TRUE,,TRUE,,TRUE,
5113,sick,dev,Two sumo ringers are fighting,Two sumo wrestlers are fighting,entailment,3,TRUE,,,"(sumo ringer, sumo wrestler)","(sumo ringer, sumo wrestler)","(sumo ringer, sumo wrestler)",,,,FALSE,FALSE,FALSE
51145797.jpg#4r1e,snli,dev,Two people are in a green forest.,The forest is not dead.,entailment,2,TRUE,,NO_RELATION,NO_RELATION,,NO_RELATION,TRUE,,TRUE,,TRUE,
5198,sick,train,A boy is saying a word,A child is talking,entailment,2,TRUE,,"(boy, child); (say, talk)","(boy, child); (say, talk)",,"(boy, child); (say, talk)",TRUE,,TRUE,,TRUE,
533601247.jpg#2r1e,snli,dev,A boy in sandals is looking at a camera in a busy street.,"A boy is in a busy street, wearing sandals, looking at a camera",entailment,2,TRUE,,NO_RELATION,,NO_RELATION,NO_RELATION,,TRUE,FALSE,,,FALSE
5435,sick,train,Two baby pandas are playing,Two cubs are playing,entailment,3,TRUE,,,"(baby panda, cub)","(baby panda, cub)","(baby panda, cub)",,,,TRUE,TRUE,TRUE
5436986554.jpg#1r1e,snli,dev,Military men dressed in camouflage and white aim there weapons while out in the snowy weather.,men have weapons,entailment,3,TRUE,,,NO_RELATION,NO_RELATION,NO_RELATION,,,,TRUE,TRUE,TRUE
5554,sick,train,The man is aiming a gun,The man is handling a gun,entailment,2,TRUE,,"(aim, handle)",,"(aim, handle)","(aim, handle)",,TRUE,FALSE,,,FALSE
5791070.jpg#3r1e,snli,dev,"Interior of the restaurant chain: Planet Hollywood, various movie memorabilia decorate the space.",The inside of a restaurant.,entailment,3,TRUE,,,"(interior, inside)","(interior, inside)","(interior, inside)",,,,FALSE,FALSE,TRUE
6167481552.jpg#3r1e,snli,dev,A football team getting ready for the coin toss in a half empty stadium.,The stadium is not full.,entailment,2,TRUE,,"(half empty, not full)","(half empty, not full)",,"(half empty, not full)",FALSE,,FALSE,,FALSE,
6167481552.jpg#3r1n,snli,dev,A football team getting ready for the coin toss in a half empty stadium.,There is a game about to be played.,entailment,2,TRUE,,NO_RELATION,,NO_RELATION,NO_RELATION,,TRUE,TRUE,,,TRUE
6220789654.jpg#3r1e,snli,dev,A woman closes her eyes as she plays her cello.,A woman is making music.,entailment,2,TRUE,,NO_RELATION,NO_RELATION,NO_RELATION,,FALSE,TRUE,,FALSE,,
65847949.jpg#1r3e,snli,train,Four women sitting on green outdoor furniture on a patio with a small doghouse in the backdrop.,four women sitting outdoors,entailment,2,TRUE,,"(patio, outdoors)","(patio, outdoors)","(patio, outdoors)",,FALSE,TRUE,,FALSE,,
686293997.jpg#4r1e,snli,dev,"Dinner and decisions, with the crew.",the crew was having dinner,entailment,2,TRUE,,NO_RELATION,NO_RELATION,,NO_RELATION,TRUE,,TRUE,,TRUE,
7123721879.jpg#0r1e,snli,dev,"A single runner, clothed in appropriate attire, jogging on a sidewalk next to a body of water, with buildings in the backdrop on the other side of the water.","A jogger, dressed for jogging, jogs on a sidewalk near water.",entailment,3,TRUE,,,"(runner, jogger); (next to, near); (clothed, dressed)","(next to, near); (runner, jogger); (clothed, dressed)","(clothed, dressed); (runner, jogger); (next to, near)",,,,FALSE,FALSE,FALSE
72010421.jpg#0r1e,snli,dev,"A young girl sitting on a white comforter on a bed covered with clothing, holding a yellow stuffed duck.",A yellow duck being held by a girl.,entailment,2,TRUE,,NO_RELATION,NO_RELATION,,NO_RELATION,TRUE,,TRUE,,TRUE,
7292157214.jpg#0r1e,snli,dev,A man wearing a white jacket and pink hat is speaking into a microphone while raising one arm above his head.,The man is wearing a hat.,entailment,2,TRUE,,NO_RELATION,NO_RELATION,NO_RELATION,,TRUE,TRUE,,TRUE,,
7417714642.jpg#0r1e,snli,dev,A bride wearing her bridal gown is taking pictures with her colorful wedding bouquet in front of cows.,A bride is taking wedding pictures.,entailment,3,TRUE,,,NO_RELATION,NO_RELATION,NO_RELATION,,,,TRUE,TRUE,TRUE
7700959654.jpg#4r1e,snli,dev,A woman and a man are sword fighting.,Two people are opposing each other in a sword fight.,entailment,3,TRUE,,,NO_RELATION,NO_RELATION,NO_RELATION,,,,TRUE,TRUE,TRUE
7764955218.jpg#4r1e,snli,dev,Two men in yellow jackets and black pants have medals.,The men have been given an award at some point.,entailment,2,TRUE,,"(medal, award)","(medal, award)","(medal, award)",,TRUE,TRUE,,TRUE,,
8021,sick,train,A brown and white dog is playing on the grass,A brown and white dog is playing on the lawn,entailment,2,TRUE,,"(grass, lawn)",,"(grass, lawn)","(grass, lawn)",,TRUE,TRUE,,,TRUE
8159685316.jpg#1r1e,snli,dev,"Female runners from Japan, Germany and China are running side by side.",The runners are not from the US,entailment,3,TRUE,,,NO_RELATION,NO_RELATION,NO_RELATION,,,,TRUE,TRUE,TRUE
82945847.jpg#0r1n,snli,dev,"Three sisters, barefoot in pink dresses and who range in age from preschool to teenager are pictured on a beach as they look out at the Ocean.","Three sisters, barefoot in pretty pink dresses and who range in age from preschool to teenager",entailment,2,TRUE,,NO_RELATION,NO_RELATION,,NO_RELATION,TRUE,,TRUE,,TRUE,
8343,sick,dev,A man in a motocross uniform is wearing a helmet and rides a red motorcycle,A person in a motocross uniform is wearing a helmet and rides a red motorcycle,entailment,2,TRUE,,"(man, person)",,"(man, person)","(man, person)",,TRUE,TRUE,,,TRUE
86112925.jpg#0r1e,snli,dev,"A woman in a patterned shirt hands a plate of food to another woman in an apron, while two women work in the background.",Several women collaborate to hand out food.,entailment,2,TRUE,,NO_RELATION,NO_RELATION,NO_RELATION,,TRUE,TRUE,,TRUE,,
8633,sick,dev,"A man is rock climbing, pausing and calculating the route","A man is rock climbing, stopping and calculating the route",entailment,2,TRUE,,"(pause, stop)","(pause, stop)",,"(pause, stop)",TRUE,,TRUE,,TRUE,
89332423.jpg#4r1e,snli,dev,A man holding a large swordfish.,There is a person with a fish.,entailment,2,TRUE,,"(man, person); (swordfish, fish)","(swordfish, fish); (man, person)","(man, person); (swordfish, fish)",,FALSE,FALSE,,FALSE,,
9433,sick,dev,The black and white dog is running in a green yard,A black and white dog is running outdoors,entailment,2,TRUE,,"(yard, outdoors)","(yard, outdoors)","(yard, outdoors)",,FALSE,FALSE,,TRUE,,
9668,sick,train,A shirtless man is escorting a horse that is pulling a carriage along a paved road,A shirtless man is leading a horse that is pulling a carriage,entailment,2,TRUE,,"(escort, lead)",,"(escort, lead)","(escort, lead)",,TRUE,TRUE,,,TRUE
vg_len66r1e,snli,train,The cup is shiny.,The cup glitters,entailment,2,TRUE,,NO_RELATION,NO_RELATION,NO_RELATION,,TRUE,TRUE,,TRUE,,
vg_len84r1e,snli,train,The bus is gleaming,The bus is bright.,entailment,2,TRUE,,"(gleaming, bright)","(gleaming, bright)",,"(gleaming, bright)",TRUE,,TRUE,,TRUE,
