ID,dataset,split,premise,hypothesis,gold_label,annotator_count,all_present_exact_match,Alternative_KB,Ettore_KB,Jorryt_KB,Lasha_KB,Stefan_KB,Ettore_Jorryt_match,Ettore_Lasha_match,Ettore_Stefan_match,Jorryt_Lasha_match,Jorryt_Stefan_match,Lasha_Stefan_match,LLM__lex_few_shot_base__openai_gpt-5.4-mini_raw_response,LLM__lex_few_shot_base__openai_gpt-5.4-mini_KB,LLM__lex_few_shot_base__openai_gpt-5.4-mini_error,LLM__lex_few_shot_base__anthropic_claude-haiku-4.5_raw_response,LLM__lex_few_shot_base__anthropic_claude-haiku-4.5_KB,LLM__lex_few_shot_base__anthropic_claude-haiku-4.5_error,LLM__lex_few_shot_base__google_gemini-3.1-flash-lite_raw_response,LLM__lex_few_shot_base__google_gemini-3.1-flash-lite_KB,LLM__lex_few_shot_base__google_gemini-3.1-flash-lite_error,LLM__lex_few_shot_base__openai_gpt-oss-20b_raw_response,LLM__lex_few_shot_base__openai_gpt-oss-20b_KB,LLM__lex_few_shot_base__openai_gpt-oss-20b_error,LLM__lex_few_shot_precision__openai_gpt-5.4-mini_raw_response,LLM__lex_few_shot_precision__openai_gpt-5.4-mini_KB,LLM__lex_few_shot_precision__openai_gpt-5.4-mini_error,LLM__lex_few_shot_precision__anthropic_claude-haiku-4.5_raw_response,LLM__lex_few_shot_precision__anthropic_claude-haiku-4.5_KB,LLM__lex_few_shot_precision__anthropic_claude-haiku-4.5_error,LLM__lex_few_shot_precision__google_gemini-3.1-flash-lite_raw_response,LLM__lex_few_shot_precision__google_gemini-3.1-flash-lite_KB,LLM__lex_few_shot_precision__google_gemini-3.1-flash-lite_error,LLM__lex_few_shot_precision__openai_gpt-oss-20b_raw_response,LLM__lex_few_shot_precision__openai_gpt-oss-20b_KB,LLM__lex_few_shot_precision__openai_gpt-oss-20b_error
2521878609.jpg#4r1e,snli,train,kid eating pasta,The kid is human.,entailment,2,TRUE,,NO_RELATION,NO_RELATION,NO_RELATION,,TRUE,TRUE,,TRUE,,,"answer: entailment
relations: { entails(kid, human) }","isa_wn(kid, human)",,"answer: entailment
relations: { entails(kid, human) }","isa_wn(kid, human)",,"answer: entailment
relations: { entails(kid, human) }","isa_wn(kid, human)",,"answer: entailment
relations: { entails(kid, human) }","isa_wn(kid, human)",,"answer: entailment
relations: { entails(kid, human) }","isa_wn(kid, human)",,"answer: entailment
relations: { entails(kid, human) }","isa_wn(kid, human)",,"answer: entailment
relations: { entails(kid, human) }","isa_wn(kid, human)",,"answer: entailment
relations: { entails(kid, human) }","isa_wn(kid, human)",
2543017787.jpg#4r1e,snli,train,A child rides a swing.,A kid is playing,entailment,2,TRUE,,"(child, kid)","(child, kid)",,"(child, kid)",FALSE,,FALSE,,TRUE,,"answer: entailment
relations: { entails(child, kid), entails(ride a swing, play) }","isa_wn(child, kid); isa_wn(ride a swing, play)",,"answer: non-entailment

explanation: While ""child"" entails ""kid"", there is no entailment that ""rides a swing"" entails ""play"". Although riding a swing could be considered a form of play in common sense, the premise does not explicitly state that the child is playing—it only states that the child rides a swing. The hypothesis makes a stronger claim about the nature of the activity (that it is playing) which is not necessarily entailed by the premise statement alone.",NO_RELATION,,"answer: entailment
relations: { entails(child, kid), entails(ride swing, play) }","isa_wn(child, kid); isa_wn(ride swing, play)",,"answer: entailment  
relations: { entails(child, kid), entails(ride, play) }","isa_wn(child, kid); isa_wn(ride, play)",,"answer: entailment
relations: { entails(child, kid), entails(ride a swing, play) }","isa_wn(child, kid); isa_wn(ride a swing, play)",,"answer: non-entailment

explanation: The premise states that a child rides a swing, but this does not entail that the child is playing. While riding a swing could be considered a form of play in many contexts, the premise does not explicitly state that the activity is playful or recreational. The child could be riding the swing for other reasons (exercise, transportation, etc.). Additionally, the premise does not provide information about what the child is currently doing beyond riding the swing—the child could be doing other things simultaneously or afterwards, but ""is playing"" is not necessarily entailed by ""rides a swing"" alone.",NO_RELATION,,"answer: entailment
relations: { entails(child, kid), entails(ride swing, play) }","isa_wn(child, kid); isa_wn(ride swing, play)",,"**answer:** entailment  
**relations:** { entails(ride swing, play) }","isa_wn(ride swing, play)",
2665904080.jpg#1r1e,snli,dev,A young puppy suckles from his mother.,A young puppy lays at it's mothers stomach.,entailment,2,TRUE,,NO_RELATION,NO_RELATION,,NO_RELATION,TRUE,,TRUE,,TRUE,,"answer: non-entailment
relations: { }",NO_RELATION,,"answer: non-entailment

explanation: The premise states that a young puppy suckles (nurses) from his mother, which describes a feeding behavior. The hypothesis states that a young puppy lays at its mother's stomach, which describes a resting position. While suckling may occur while laying near the mother's stomach, the premise does not necessarily entail that the puppy is laying down or resting at the mother's stomach. The puppy could be suckling while standing or in other positions. Therefore, the hypothesis is not necessarily true given only the information in the premise.",NO_RELATION,,answer: non-entailment,NO_RELATION,,"answer: entailment
relations: { }",NO_RELATION,,answer: non-entailment,NO_RELATION,,"answer: non-entailment

relations: { }

explanation: While the premise tells us that a young puppy is nursing from its mother, this does not entail that the puppy is laying at the mother's stomach. Suckling can occur in various positions and postures - the puppy could be standing, sitting, or in other positions while nursing. The hypothesis makes a specific claim about the puppy's body position (laying) that is not necessarily true based solely on the information that suckling is occurring.",NO_RELATION,,answer: non-entailment,NO_RELATION,,"answer: entailment  
relations: { }",NO_RELATION,
2680990587.jpg#3r1e,snli,train,One boy is pushing another boy on a swing.,One human pushing another.,entailment,2,TRUE,,"(boy, human)","(boy, human)",,"(boy, human)",TRUE,,TRUE,,TRUE,,"answer: entailment
relations: { entails(boy, human) }","isa_wn(boy, human)",,"answer: entailment
relations: { entails(boy, human), entails(push, push) }

Wait, let me reconsider. The relation entails(push, push) is trivial and redundant.

answer: entailment
relations: { entails(boy, human) }","isa_wn(boy, human); isa_wn(push, push); isa_wn(push, push); isa_wn(boy, human)",,"answer: entailment
relations: { entails(boy, human) }","isa_wn(boy, human)",,"answer: entailment  
relations: { entails(boy, human) }","isa_wn(boy, human)",,"answer: entailment
relations: { entails(boy, human) }","isa_wn(boy, human)",,"answer: entailment
relations: { entails(boy, human), entails(push, push) }

Wait, let me reconsider. The second relation is trivial and redundant. Let me revise:

answer: entailment
relations: { entails(boy, human) }","isa_wn(boy, human); isa_wn(push, push); isa_wn(boy, human)",,"answer: entailment
relations: { entails(boy, human) }","isa_wn(boy, human)",,"answer: entailment  
relations: { entails(boy, human) }","isa_wn(boy, human)",
2744856447.jpg#3r1e,snli,dev,An Asian young man is drinking out of a metal cup.,The young man is drinking a liquid.,entailment,2,TRUE,,NO_RELATION,,NO_RELATION,NO_RELATION,,TRUE,TRUE,,,TRUE,answer: non-entailment,NO_RELATION,,"answer: entailment
relations: { entails(metal cup, vessel for liquid), entails(drink, consume liquid) }","isa_wn(metal cup, vessel for liquid); isa_wn(drink, consume liquid)",,"answer: entailment
relations: { entails(metal cup, container), entails(drink, consume liquid) }","isa_wn(metal cup, container); isa_wn(drink, consume liquid)",,"answer: entailment  
relations: {}",NO_RELATION,,"answer: entailment
relations: { entails(drink out of cup, drink liquid) }","isa_wn(drink out of cup, drink liquid)",,"answer: entailment
relations: { entails(drink, consume liquid) }","isa_wn(drink, consume liquid)",,"answer: entailment
relations: { entails(metal cup, container for liquid) }","isa_wn(metal cup, container for liquid)",,"answer: entailment  
relations: {entails(drinking, ingest liquid)}","isa_wn(drinking, ingest liquid)",
2809,sick,train,A cartoon airplane is landing,An animated airplane is landing,entailment,2,TRUE,,"(cartoon, animated)",,"(cartoon, animated)","(cartoon, animated)",,TRUE,TRUE,,,TRUE,"answer: entailment
relations: { entails(cartoon, animated) }","isa_wn(cartoon, animated)",,"answer: entailment
relations: { entails(cartoon, animated) }","isa_wn(cartoon, animated)",,"answer: entailment
relations: { entails(cartoon, animated) }","isa_wn(cartoon, animated)",,"answer: entailment  
relations: { entails(cartoon airplane, animated airplane) }","isa_wn(cartoon airplane, animated airplane)",,"answer: entailment
relations: { entails(cartoon, animated) }","isa_wn(cartoon, animated)",,"answer: entailment
relations: { entails(cartoon, animated) }","isa_wn(cartoon, animated)",,"answer: entailment
relations: { entails(cartoon, animated) }","isa_wn(cartoon, animated)",,"answer: entailment  
relations: { entails(cartoon airplane, animated airplane) }","isa_wn(cartoon airplane, animated airplane)",
281271503.jpg#4r1e,snli,test,A man in a bright yellow shirt juggles while riding a unicycle.,Man performs a juggling act on a unicycle.,entailment,3,TRUE,,,NO_RELATION,NO_RELATION,NO_RELATION,,,,FALSE,FALSE,TRUE,"answer: entailment
relations: { entails(juggles, performs juggling act) }","isa_wn(juggles, performs juggling act)",,"answer: entailment
relations: { entails(juggle, juggling act), entails(ride, perform) }","isa_wn(juggle, juggling act); isa_wn(ride, perform)",,"answer: entailment
relations: { entails(juggle, perform juggling act) }","isa_wn(juggle, perform juggling act)",,"answer: entailment  
relations: { entails(juggles, juggling act) }","isa_wn(juggles, juggling act)",,"answer: entailment
relations: { entails(juggle, perform a juggling act) }","isa_wn(juggle, perform a juggling act)",,"answer: entailment
relations: { entails(juggle, juggling act) }","isa_wn(juggle, juggling act)",,"answer: entailment
relations: { entails(juggles, perform juggling act) }","isa_wn(juggles, perform juggling act)",,"answer: entailment
relations: { entails(juggle, juggling act) }","isa_wn(juggle, juggling act)",
2864340145.jpg#2r1e,snli,dev,A black dog walking through water.,The water has a black dog walking through it.,entailment,2,TRUE,,NO_RELATION,NO_RELATION,,NO_RELATION,TRUE,,TRUE,,TRUE,,"answer: entailment
relations: { }",NO_RELATION,,"answer: entailment
relations: { }

explanation: The premise ""A black dog walking through water"" describes a situation where a black dog is performing the action of walking through water. The hypothesis ""The water has a black dog walking through it"" expresses the same situation from a different perspective—focusing on the water as the location through which the black dog walks. Both sentences convey the same core information: a black dog is walking through water. The difference is merely in grammatical structure and perspective (active vs. locative construction), not in semantic content. No non-trivial lexical entailments are needed to explain this entailment, as the meaning is preserved through the rephrasing.",NO_RELATION,,"answer: entailment
relations: { }",NO_RELATION,,"answer: entailment  
relations: { }",NO_RELATION,,"answer: entailment
relations: { }",NO_RELATION,,"answer: entailment
relations: { }

explanation: The premise states that a black dog is walking through water. The hypothesis states that the water has a black dog walking through it. These sentences describe the same situation from different perspectives - one focusing on the dog's action, the other on the water's state of having the dog walk through it. The entailment follows directly from the logical equivalence of these two descriptions without requiring any non-trivial lexical bridges. All the key elements (black dog, walking, water) are preserved between the two sentences.",NO_RELATION,,"answer: entailment
relations: { }",NO_RELATION,,"answer: entailment  
relations: { }",NO_RELATION,
2898,sick,dev,The man is lifting barbells,The man is lifting weights,entailment,2,TRUE,,"(barbell, weight)","(barbell, weight)","(barbell, weight)",,TRUE,TRUE,,TRUE,,,"answer: entailment
relations: { entails(barbell, weight) }","isa_wn(barbell, weight)",,"answer: entailment
relations: { entails(barbell, weight) }","isa_wn(barbell, weight)",,"answer: entailment
relations: { entails(barbell, weight) }","isa_wn(barbell, weight)",,"**answer:** entailment  
**relations:** { entails(barbell, weight) }","isa_wn(barbell, weight)",,"answer: entailment
relations: { entails(barbell, weight) }","isa_wn(barbell, weight)",,"answer: entailment
relations: { entails(barbell, weight) }","isa_wn(barbell, weight)",,"answer: entailment
relations: { entails(barbell, weight) }","isa_wn(barbell, weight)",,"answer: entailment
relations: { entails(barbell, weight) }","isa_wn(barbell, weight)",
303607405.jpg#4r3e,snli,train,a dog shakes dry.,A dog is wet.,entailment,2,TRUE,,NO_RELATION,NO_RELATION,,NO_RELATION,TRUE,,TRUE,,TRUE,,answer: non-entailment,NO_RELATION,,"answer: non-entailment

explanation: The premise states that a dog shakes dry, which describes an action the dog is performing. However, this does not necessarily entail that the dog is wet. While it is plausible that a dog might shake dry after being wet, the premise does not explicitly state that the dog is wet—only that it is shaking dry. A dog could shake for many other reasons (to shake off dirt, as a nervous habit, etc.). The premise does not provide sufficient information to conclude with certainty that the dog is wet.

relations: { }",NO_RELATION,,answer: non-entailment,NO_RELATION,,"Answer: entailment  
Relations: { }",NO_RELATION,,answer: non-entailment,NO_RELATION,,"answer: non-entailment

relations: { }

explanation: The premise states that a dog shakes dry, which describes an action the dog is performing. However, this does not entail that the dog is wet. While it is possible that a dog might shake dry after being wet, shaking dry could also occur for other reasons (e.g., a dog shaking after rolling in dust, or simply shaking as a normal behavior). The premise does not logically necessitate that the dog is currently wet.",NO_RELATION,,answer: non-entailment,NO_RELATION,,answer: non-entailment,NO_RELATION,
3046190891.jpg#2r1e,snli,test,A surfer is performing a jumping stunt in the ocean.,A person in the water.,entailment,2,TRUE,,"(ocean, water); (surfer, person)",,"(ocean, water); (surfer, person)","(ocean, water); (surfer, person)",,TRUE,TRUE,,,TRUE,"answer: entailment
relations: { entails(surfer, person), entails(ocean, water) }","isa_wn(surfer, person); isa_wn(ocean, water)",,"answer: entailment
relations: { entails(surfer, person), entails(ocean, water) }","isa_wn(surfer, person); isa_wn(ocean, water)",,"answer: entailment
relations: { entails(surfer, person), entails(ocean, water) }","isa_wn(surfer, person); isa_wn(ocean, water)",,"answer: entailment  
relations: { entails(surfer, person), entails(ocean, water) }","isa_wn(surfer, person); isa_wn(ocean, water)",,"answer: entailment
relations: { entails(surfer, person), entails(ocean, water) }","isa_wn(surfer, person); isa_wn(ocean, water)",,"answer: entailment
relations: { entails(surfer, person), entails(ocean, water) }","isa_wn(surfer, person); isa_wn(ocean, water)",,"answer: entailment
relations: { entails(surfer, person), entails(ocean, water) }","isa_wn(surfer, person); isa_wn(ocean, water)",,"answer: entailment
relations: { entails(surfer, person), entails(ocean, water) }","isa_wn(surfer, person); isa_wn(ocean, water)",
